query_id,query_text,status,mrr,hit_at_1,hit_at_3,hit_at_5,hit_at_10,hit_at_20,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,ndcg_at_1,ndcg_at_3,ndcg_at_5,ndcg_at_10,ndcg_at_20,retrieval_time_ms,n_retrieved,n_generation_docs,reranked,gen_recall,gen_hit,question_type,n_expected,primary_metric_type,primary_metric_value,sec_exact_match,sec_f1_score,sec_faithfulness,expected_response,generated_response
q_1547,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,completed,0.2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.2372,0.2372,0.3941,190.5,20,10,,0.5,1.0,bridge,2,f1_score,0.0,0.0,,1.0,flotilla,three-star admiral
q_2054,When did the park at which Tivolis Koncertsal is located open?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6131,0.8772,0.8772,0.8772,148.1,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,15 August 1843,15 August 1843
q_478,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.3869,0.3869,0.5912,0.5912,147.6,20,10,,1.0,1.0,comparison,2,accuracy,0.0,0.0,0.0,0.1,Armenian,Armenia
q_3245,The school in which the Wilmslow Show is held is designated as what?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,145.8,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,Centre of Excellence,Centre of Excellence
q_1119,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,146.3,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,Saoirse Ronan,Saoirse Ronan
q_3575,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",completed,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1396,147.5,20,10,,0.0,0.0,bridge,2,f1_score,0.0,0.0,,1.0,The Lorax,N/A
q_978,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6131,0.6131,0.7977,0.7977,289.4,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,Scott Adkins,Scott Adkins
q_1668,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6131,0.8772,0.8772,0.8772,147.6,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,War & Peace,War & Peace
q_6149,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6131,0.6131,0.8066,0.8066,148.2,20,10,,1.0,1.0,comparison,2,accuracy,1.0,1.0,1.0,1.0,Midnight Oil,Midnight Oil
q_4237,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,111.1,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,1967,1967
q_1106,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,148.1,20,10,,1.0,1.0,bridge,2,f1_score,0.8,0.0,,1.0,Captain John Underhill,John Underhill
q_6953,In which film did Emilio Estevez star in in the same year as Nightmares,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,147.2,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,The Outsiders,The Outsiders
q_2375,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.3869,0.3869,0.3869,0.3869,145.0,20,10,,0.5,1.0,bridge,2,f1_score,0.1111,0.0,,1.0,to ensure wide visibility and understanding of cases in a region,"personal injury, litigation, criminal defense, and collections"
