query_id,query_text,status,mrr,hit_at_1,hit_at_3,hit_at_5,hit_at_10,hit_at_20,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,ndcg_at_1,ndcg_at_3,ndcg_at_5,ndcg_at_10,ndcg_at_20,retrieval_time_ms,n_retrieved,n_generation_docs,reranked,gen_recall,gen_hit,question_type,n_expected,primary_metric_type,primary_metric_value,sec_exact_match,sec_f1_score,sec_faithfulness,lightrag_mode,kg_fallback,kg_entities_count,kg_relations_count,kg_chunk_keyword_matches,kg_synthesis_used,kg_synthesis_error,expected_response,generated_response
q_1547,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.6131,0.6131,0.6131,0.7788,256.3,20,10,,0.5,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,30,30,39,true,,flotilla,flotilla
q_2054,When did the park at which Tivolis Koncertsal is located open?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6131,0.8503,0.8503,0.8503,212.8,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,20,30,38,true,,15 August 1843,15 August 1843
q_478,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.6,20,10,,0.0,0.0,comparison,2,accuracy,0.0,0.0,0.0,0.1,hybrid,,20,30,29,true,,Armenian,none
q_3245,The school in which the Wilmslow Show is held is designated as what?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,178.3,20,10,,0.5,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,10,30,34,true,,Centre of Excellence,centre of excellence
q_1119,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,213.6,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,20,30,35,true,,Saoirse Ronan,Saoirse Ronan
q_3575,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.3869,0.3869,0.5641,0.5641,212.9,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,20,30,39,true,,The Lorax,The Lorax
q_978,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6131,0.6131,0.8175,0.8175,354.1,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,30,30,32,true,,Scott Adkins,Scott Adkins
q_1668,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.6131,0.6131,0.6131,0.7788,212.0,20,10,,0.5,1.0,bridge,2,f1_score,0.0,0.0,,0.2,hybrid,,20,30,36,false,timeout,War & Peace,The Game
q_6149,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,213.2,20,10,,0.5,1.0,comparison,2,accuracy,0.0,0.0,0.0,0.1,hybrid,,19,30,35,true,,Midnight Oil,neither
q_4237,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6131,0.6131,0.8175,0.8175,178.4,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,10,30,33,true,,1967,1967
q_1106,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,completed,0.0556,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1443,280.1,20,10,,0.0,0.0,bridge,2,f1_score,0.0,0.0,,1.0,hybrid,,30,30,44,true,,Captain John Underhill,Willem Kieft
q_6953,In which film did Emilio Estevez star in in the same year as Nightmares,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9197,0.9197,0.9197,0.9197,211.7,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,20,30,33,true,,The Outsiders,The Outsiders
q_2375,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.4,20,10,,0.0,0.0,bridge,2,f1_score,0.0,0.0,,0.1,hybrid,,10,30,33,true,,to ensure wide visibility and understanding of cases in a region,None
q_5129,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,178.3,20,10,,0.5,1.0,bridge,2,f1_score,1.0,1.0,,0.0,hybrid,,10,30,29,true,,Keelung,Keelung
q_4491,Has Stefan Edberg won more events than  Édouard Roger-Vasselin?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6131,0.8503,0.8503,0.8503,214.5,20,10,,1.0,1.0,comparison,2,accuracy,1.0,1.0,1.0,0.2,hybrid,,18,30,40,true,,yes,yes
