query_id,query_text,status,mrr,hit_at_1,hit_at_3,hit_at_5,hit_at_10,hit_at_20,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,ndcg_at_1,ndcg_at_3,ndcg_at_5,ndcg_at_10,ndcg_at_20,retrieval_time_ms,n_retrieved,n_generation_docs,reranked,gen_recall,gen_hit,question_type,n_expected,primary_metric_type,primary_metric_value,sec_exact_match,sec_f1_score,sec_faithfulness,graph_candidates,vector_candidates,graph_only_candidates,graph_resolved,query_keywords,expected_response,generated_response
q_1547,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.3869,0.6509,0.6509,0.6509,70.7,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,16,20,12,12,"{""low"": [""Iqbal F. Qadir"", ""radar station"", ""Okhamandal Peninsula""], ""high"": [""military attack"", ""Okhamandal Peninsula""]}",flotilla,flotilla
q_2054,When did the park at which Tivolis Koncertsal is located open?,completed,0.3333,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.3066,0.3066,0.525,0.525,75.0,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,42,20,35,35,"{""low"": [""park"", ""Tivolis Koncertsal""], ""high"": [""opening time"", ""park location""]}",15 August 1843,15 August 1843
q_478,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6934,0.6934,0.6934,0.6934,79.6,20,5,True,1.0,1.0,comparison,2,accuracy,0.0,0.0,0.0,0.2,46,20,42,42,"{""low"": [""Art Laboe"", ""Scout Tufankjian""], ""high"": [""ancestry"", ""shared country""]}",Armenian,Armenia
q_3245,The school in which the Wilmslow Show is held is designated as what?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6131,0.8772,0.8772,0.8772,131.9,20,5,True,1.0,1.0,bridge,2,f1_score,0.0,0.0,0.0,1.0,42,20,38,38,"{""low"": [""Wilmslow Show""], ""high"": [""designation"", ""event location""]}",Centre of Excellence,good
q_1119,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,completed,0.1667,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.4228,0.4228,95.3,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,40,20,33,33,"{""low"": [""Billy Howle"", ""Dominic Cooke""], ""high"": [""upcoming British drama film"", ""co-starring""]}",Saoirse Ronan,Saoirse Ronan
q_3575,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.3869,0.6241,0.6241,0.6241,112.1,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,42,20,36,36,"{""low"": [""Danny Devito"", ""Kool Kojak""], ""high"": [""animation"", ""music""]}",The Lorax,The Lorax
q_978,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark",completed,0.3333,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.3066,0.5706,0.5706,0.5706,106.9,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,46,20,39,39,"{""low"": [""Luc Deveraux"", ""Universal Soldier franchise"", ""Holby City"", ""Doctor Strange"", ""Bourne Ultimatum"", ""Zero Dark Thirty""], ""high"": [""actor crossover"", ""film franchise connections""]}",Scott Adkins,Scott Adkins
q_1668,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,completed,0.1429,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.389,0.389,97.3,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,45,20,36,36,"{""low"": [""Tommy's Honour"", ""BBC""], ""high"": [""drama film"", ""BBC miniseries""]}",War & Peace,War & Peace
q_6149,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",completed,0.1667,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3956,0.3956,78.6,20,5,True,1.0,1.0,comparison,2,accuracy,1.0,1.0,1.0,1.0,40,20,30,30,"{""low"": [""Switchfoot"", ""Midnight Oil""], ""high"": [""band naming origins"", ""rock music""]}",Midnight Oil,Midnight Oil
q_4237,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",completed,0.25,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.2641,0.4575,0.4575,114.6,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,41,20,33,33,"{""low"": [""Tunak""], ""high"": [""bhangra/pop love song"", ""artist birth year""]}",1967,1967
